City,Gym_URL,Address
adana,https://www.macfit.com/kulupler/adana/seyhan/macfit-01-burda,"Ahmet Remzi Yüreğir Mah., Turhan Cemal Beriker Blv. 162-1 Seyhan/Adana"
adana,https://www.macfit.com/kulupler/adana/yuregir/macfit-adana-optimum,"Yeşilyurt Mah., 70028. Sok., 01150 Yüreğir/Adana"
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-365-avm,"Birlik Mah. 428.Cad. No:41
Yıldız-Çankaya / Ankara"
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-balgat-nev-201,"Ehlibeyt, Mevlana Blv. No:203, 06520 Çankaya / Ankara"
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-cepa,Cepa AVM Eskişehir Yolu Mustafa Kemal Mah. 2123 Sokak No: 2 Çankaya/Ankara
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-gordion,"Gordion AVM Koru Mah. Ankaralılar Cad. No:2, 06810 Çankaya/Ankara"
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-konutkent,Safranbolu Cad. No:12 Konutkent 2 Çayyolu Çankaya/Ankara
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macone-panora,Panora AVM Turan Güneş Blv. No:182/2 Oran Çankaya/Ankara
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-tunali,"Yapı Kredi Koray İş Merkezi İran Cad., No:8 Kavaklıdere 06680 Tunalı/Çankaya/Ankara"
ankara,https://www.macfit.com/kulupler/ankara/cankaya/macfit-yasamkent,"Alacaatlı Mah., 3381. Sk. No:42, 06810 Çankaya / Ankara"
ankara,https://www.macfit.com/kulupler/ankara/etimesgut/macfit-eryaman,Eryaman Mah. Samsun 19 Mayıs Cad. No:5 Etimesgut/Ankara
ankara,https://www.macfit.com/kulupler/ankara/kecioren/macfit-etlik,"Hamesa Çarşı, Etlik, Ayvalı Cd. No: 140 Kat: 2
Keçiören/Ankara"
ankara,https://www.macfit.com/kulupler/ankara/mamak/macfit-nata-vega,"Akşemsettin Mah., Nata Vega Outlet, 06480 Mamak/Ankara"
ankara,https://www.macfit.com/kulupler/ankara/yeni-mahalle/macfit-ankamall,Ankamall AVM Konya Devlet Karayolu Üzeri Akköprü Mevkii Yenimahalle/Ankara
ankara,https://www.macfit.com/kulupler/ankara/yeni-mahalle/macfit-armada,Armada AVM Eskişehir Yolu No: 6 Ankara
ankara,https://www.macfit.com/kulupler/ankara/yeni-mahalle/macfit-podium,Podium AVM Macun Mah. Bağdat Cad. No: 60 Yenimahalle/ANKARA
antalya,https://www.macfit.com/kulupler/antalya/kepez/macfit-antalya-erasta,"Erasta AVM Ahatlı Mah., Dumlupınar Blv., Yanyolu No:25, 07090 Kepez/Antalya"
antalya,https://www.macfit.com/kulupler/antalya/muratpasa/macfit-antalya-lara-carrefour,Şirinyalı Mah. İsmet Gökşen Cad. Carrefoursa Avm No:5 Muratpaşa/Antalya
